ASMI	CPTI15	CPTI15_sel_CFTI4med	ASMI_EqID	CFTI4med_EqID
@	@	@	12690900_0000_000	00120
@	@		12690000_0000_001	42802
@	@	@	12731218_0000_000	00123
@	@	@	12751102_0000_000	42793
@	@	@	12760522_0000_000	00129
@	@	@	12760729_1830_000	00128
@			12770720_0000_000	00130
@			12780407_0000_000	00135
@			12790424_1700_000	00138
@	@		12790430_1800_000	00144
@	@		12790430_0000_000	00143
@	@	@	12800000_0000_001	42024
@	@		12840117_1530_000	00148
			12870411_0000_000	00152
@			12910511_1920_000	42098
@			12920000_0000_001	00159
@			12930000_0000_000	00161
@	@	@	12930300_0000_000	00160
@	@	@	12930904_0000_000	00162
@			12940000_0000_000	00163
@	@	@	12950901_0300_000	42025
@			12980000_0000_001	00168
@	@	@	12981130_0000_000	42808
@			12981200_0000_000	00170
@	@	@	12981201_0000_000	00169
@			12990000_0000_000	00172
@			13010000_0000_000	00183
@	@	@	13010611_0400_000	00176
@	@	@	13030800_0000_000	42026
@			13040000_0000_000	00192
@	@	@	13041023_0045_000	00189
@	@	@	13041218_0200_000	42849
@	@	@	13080125_1715_000	00197
@			13090711_0000_000	00198
@	@	@	13121014_1115_000	42102
@	@	@	13151203_0000_000	00201
@			13210000_0000_000	00209
@	@	@	13230225_1900_000	00212
@			13260830_0700_000	42262
@	@		13281201_0000_000	00215
@	@	@	13290628_2200_000	00216
@	@	@	13341204_0000_000	00220
@	@	@	13391116_1410_000	42103
@	@	@	13441111_0000_000	00227
@			13450201_0000_000	00229
@	@		13450912_0000_000	00230
@	@		13451222_0000_000	42809
@	@	@	13460208_0000_000	42810
@			13460222_1100_000	00231
@	@		13480125_1530_000	00232
@	@	@	13480913_0000_000	42794
@	@	@	13490122_1800_000	00238
@	@	@	13490909_0000_001	42045
@	@	@	13490909_0000_000	42004
@	@		13490909_0815_001	00239
@	@	@	13490909_0815_000	42005
@			13500000_0000_002	00241
@	@	@	13520125_0000_000	00243
@	@		13521225_0000_000	00244
@			13530101_0000_000	00245
@			13530000_0000_001	00246
@	@	@	13530422_0000_000	42795
@	@	@	13610717_1715_000	00252
@	@	@	13650725_1800_000	00258
@	@	@	13650921_0545_000	00259
@			13650921_0615_000	00260
@	@	@	13670000_0000_000	00263
@	@	@	13690201_0000_000	00264
@	@	@	13730100_0000_000	00268
@	@	@	13730301_0800_000	00270
@	@	@	13730400_0000_000	00272
			13730922_0200_000	M2221
@			13751225_0000_000	00278
@			13760100_0000_000	00279
@			13760200_0000_000	00280
@	@	@	13760312_0115_000	00282
@	@	@	13760315_0000_000	00284
@			13761209_0000_000	00286
@			13761210_0800_000	42800
@	@	@	13771114_0000_000	42796
@	@	@	13840204_0505_000	00292
@	@	@	13840204_1710_000	00293
@	@	@	13860317_0000_000	42797
			13870305_0500_000	M2229
@	@	@	13890820_1300_000	00302
@	@		13891018_0000_000	00304
			13901205_0100_000	M2233
@			13950000_0000_000	00311
@	@	@	13961126_0000_000	00314
@	@	@	13990720_2300_000	00318
			13991021_1500_000	M2250
			13991106_1500_000	M2251
@	@	@	14000229_1915_000	42850
@	@	@	14000303_1215_000	42851
@	@	@	14030112_0530_000	00331
@			14030117_0000_000	00333
@			14030129_1855_000	00334
@	@	@	14030906_0000_000	00339
@			14040317_0000_000	42267
@	@	@	14050626_1345_000	00342
			14070625_0000_000	M2261
@	@	@	14080103_1630_000	00347
@			14090814_0845_000	42108
@	@	@	14090817_0035_000	42109
@	@	@	14091115_1115_000	00353
@			14100610_2030_000	00355
@	@	@	14100610_2100_000	00356
@			14100810_0000_000	00358
@	@	@	14110109_0200_000	42110
@			14130808_0000_000	00366
@	@	@	14140000_0000_000	00370
@			14140803_0000_000	00367
@	@		14140807_0000_001	00368
@			14290000_0000_000	00383
@	@	@	14290626_0000_000	42112
@	@	@	14291110_1620_000	42027
@	@	@	14300813_0040_000	00384
@	@	@	14330504_0805_000	00385
@	@	@	14380202_1215_000	42279
@	@	@	14380611_0200_000	00388
@			14480000_0000_001	00396
@			14480426_0000_000	00394
@	@	@	14530928_2245_000	00406
@			14550203_2000_000	00408
@	@	@	14550206_0000_000	42020
@	@	@	14551220_2045_000	00409
@			14560822_0000_000	00412
			14561205_0300_000	B0413
			14561205_0300_002	A0413
			14561205_0300_003	D0413
			14561205_0300_001	C0413
@			14561207_2105_000	42811
@			14561221_0000_000	42812
@	@	@	14561230_0820_000	00417
@	@	@	14570108_0000_000	42813
@	@	@	14570210_0000_000	42814
@			14580425_0000_000	42815
@	@	@	14580426_1215_000	00418
@			14580429_0000_000	00419
@	@	@	14580501_0035_000	00420
@			14581203_1800_000	42274
@			14590318_1900_000	42114
@			14611116_0000_000	00424
@	@		14611127_2105_000	00425
@	@		14611127_2305_000	00426
@			14611204_0000_000	00427
@			14611211_0000_000	42816
			14611218_0010_000	00428
@	@	@	14620103_2025_000	00429
@	@	@	14620104_2225_000	00430
@	@	@	14620327_0200_000	42817
@			14620327_2100_000	42818
@	@	@	14640324_0000_000	42275
@			14650122_2220_000	42115
@			14650226_0000_000	42841
@			14650323_0800_000	42842
@	@	@	14650407_1530_000	00434
@			14650415_0000_000	00435
@	@	@	14660115_0225_000	00438
@	@	@	14661220_1100_000	42843
@			14670700_0000_000	00442
@	@	@	14670822_2020_000	00443
@	@	@	14670903_0000_000	00444
@	@	@	14680606_1030_000	00445
@			14690327_1610_000	42803
@			14690329_0315_000	42804
@			14690402_2245_000	42805
@	@	@	14690407_0625_000	42116
@	@	@	14710815_1640_000	00450
@	@	@	14730507_0745_000	00457
@			14730707_0430_000	42277
@			14741217_0915_000	42117
@			14770101_0000_000	42819
@	@	@	14770130_1600_000	42820
@	@	@	14770203_0100_000	42014
@			14770414_0050_000	42118
@	@		14800000_0000_001	00464
@	@	@	14810206_2115_000	42806
@	@	@	14810207_2245_000	00465
@	@	@	14810207_0620_000	42807
@	@	@	14810507_1415_000	00466
			14820200_0000_000	M2366
			14820926_0000_000	M2367
@	@	@	14830811_1940_000	00468
@			14840000_0000_000	00471
@	@	@	14850000_0000_000	00473
@	@	@	14870111_1540_000	00475
@			14880731_0000_000	00479
@	@	@	14910124_2350_000	00484
@	@	@	14920100_0000_000	42280
@			14930118_0000_000	42119
@			14930219_0000_000	42281
@	@	@	14940529_0215_000	00489
@	@		14940613_0000_000	00490
@			14950107_0000_000	42282
@	@		14960604_0000_000	00494
@	@	@	14960604_0000_001	00493
			14961128_0845_000	M2380
@	@		14970303_0000_000	42120
@	@	@	15010605_1000_000	00501
@	@		15020515_0000_000	00505
@			15020923_0000_000	00508
@	@	@	15041101_0000_000	00512
@	@	@	15041231_0400_000	00514
@	@	@	15050103_0200_000	00516
@	@	@	15050120_2350_000	00520
@			15060306_1900_000	00522
@	@	@	15090225_2220_000	00535
@	@	@	15090419_0000_000	00537
@			15100000_0000_000	00538
@			15110208_0000_000	00539
@	@		15110326_1440_000	00540
@			15110328_1430_000	00541
@	@		15110328_1215_000	00547
@	@		15110625_0010_000	00555
			15110625_0440_000	00557
			15110625_0540_000	00558
@			15110808_0000_000	00566
@	@		15110816_0330_000	00567
@	@		15120208_0915_000	00572
@			15121212_2040_000	00575
@	@	@	15130210_0000_001	00576
@			15141009_0330_000	00604
@	@	@	15151025_1235_000	00608
@	@	@	15160520_2300_000	00614
@	@	@	15170329_1900_000	42036
@	@	@	15171231_0355_000	42831
@	@	@	15180520_2140_000	42832
@			15191204_2310_000	42833
@			15191205_0110_000	42834
@	@	@	15200218_0430_000	00619
@			15210217_0000_000	00622
@			15210831_0510_000	00623
@	@	@	15221005_0010_000	00635
@			15221005_0810_000	00636
@			15221013_0000_000	00637
@			15240000_0000_000	00644
@			15241228_0150_000	42835
@	@	@	15241229_0750_000	42836
@	@		15271004_0000_000	00648
@			15290703_0000_000	00658
@			15330125_0000_000	00663
@	@	@	15360810_2300_000	00671
@	@	@	15360817_0005_000	42139
@	@		15400901_0810_000	00682
@	@	@	15420613_0215_000	00688
@			15420826_0000_000	00692
@			15420826_0000_001	00693
@	@	@	15421210_1515_000	00694
@	@	@	15450609_1545_000	00697
@	@	@	15470210_1320_000	00698
@	@	@	15470324_0000_000	00700
@	@		15490513_0830_000	00705
@			15500825_0000_000	00710
@	@		15541127_1830_000	00713
@			15560420_0000_000	00715
@	@		15580209_0415_000	42028
@	@		15590411_2000_000	42029
@	@	@	15600511_0440_000	00721
@	@		15610731_1945_000	00722
@	@		15610819_1550_000	00725
@	@	@	15611124_0125_000	00729
@	@		15640720_0000_000	00738
@	@	@	15701117_1910_000	00755
@			15720713_1750_000	00775
@			15740801_0000_000	00781
@	@	@	15760926_0510_000	00790
@	@	@	15840910_2030_000	00804
@			15910710_0000_000	00815
@			15930424_0000_000	00822
@	@	@	15941003_0000_000	00825
@	@	@	15970803_2340_000	00831
@	@	@	15991106_0125_000	00838
@			16000900_0000_000	00845
@	@	@	16071231_0000_000	00859
@	@	@	16080106_2220_000	00860
@	@	@	16110115_0000_000	00865
@	@	@	16110908_2210_000	00867
@	@	@	16130825_0500_000	00870
@	@	@	16220505_1100_000	00893
@	@		16240319_1945_000	00905
@	@	@	16241003_1700_000	00909
@	@	@	16260404_1245_000	00921
@	@	@	16270730_1050_000	00928
@	@	@	16270730_1105_000	00929
@	@	@	16270807_1640_000	00931
@	@	@	16270906_1550_000	00934
@	@	@	16281104_1540_000	00935
@	@	@	16281104_1540_001	00936
@	@	@	16300500_0000_000	00937
@	@	@	16310225_0000_000	42044
@	@		16330221_2300_000	00940
@	@	@	16380327_1505_000	00953
@	@	@	16380608_0945_000	00958
@	@		16391007_0000_000	00963
@	@		16391015_0030_000	00966
@	@		16420613_0000_000	00979
@	@		16440215_0430_000	00984
@	@	@	16460405_1615_000	00991
@	@		16460531_0000_000	00995
@	@	@	16480113_1800_000	00997
@	@		16530419_0440_000	42053
@	@	@	16540724_0025_000	01007
@	@	@	16591105_2215_000	01019
@	@		16610312_0000_000	01025
@	@	@	16610321_2300_000	01021
@	@	@	16610322_1250_000	01026
@	@	@	16660414_1858_000	01040
@	@	@	16680822_0000_000	42033
@	@		16690310_2325_000	01044
@	@		16700717_0100_000	01050
@	@	@	16710620_1000_000	01053
@	@	@	16720414_1545_000	01056
@			16760617_2000_000	01061
@	@	@	16780715_0000_000	01066
@	@	@	16880411_1220_000	01103
@			16880531_0000_000	01105
@	@	@	16880605_1530_000	01108
@	@	@	16900322_2150_000	42034
@	@	@	16901204_1400_000	01122
@	@	@	16901223_0020_000	01124
@	@	@	16910219_0000_000	01128
@	@	@	16921023_2010_000	01142
@	@		16930108_2215_000	42035
@	@	@	16930109_2100_000	01143
@	@	@	16930111_1330_000	01148
@	@	@	16930111_0800_000	01146
@	@		16930224_0345_000	42054
@	@		16940408_1015_000	01160
@	@	@	16940908_1140_000	01166
@	@		16950225_0530_000	01174
@	@		16950611_0220_000	01199
@	@	@	16970920_1550_000	01227
@	@	@	16970920_1650_000	01228
@	@	@	16970930_1215_000	01237
@	@	@	16971001_0000_000	01238
@	@	@	16971028_0100_000	01242
@	@	@	16971220_1945_000	01249
@	@		16990507_0000_000	42055
@	@		17000728_0000_000	01259
@	@	@	17020314_0500_000	01271
@	@	@	17020314_0430_000	01270
@	@	@	17020402_0620_000	01274
@	@	@	17020406_1655_000	01276
@	@	@	17030114_1800_000	01284
@	@	@	17030116_1330_000	01285
@	@	@	17030202_1105_000	01291
@			17030701_0000_000	01322
@			17030702_0000_000	01323
@	@		17040513_1215_000	42056
@	@		17040515_0045_000	42057
@	@	@	17050414_1920_000	01334
@	@	@	17061103_1300_000	01348
@	@		17080126_0000_000	42037
@	@		17170422_0000_000	01415
@	@	@	17190627_0630_000	01450
@	@	@	17210618_0000_000	42049
@	@		17241211_2000_000	01529
@	@		17250417_1305_000	42059
@	@	@	17251029_1740_000	01540
@	@	@	17260901_2155_000	01548
@	@		17290623_0220_000	01644
@	@	@	17300329_0005_000	01654
@	@	@	17300512_0500_000	01656
@	@		17301023_1020_000	42015
@	@	@	17310320_0300_000	01667
@	@		17310329_0000_000	42061
@	@	@	17320204_1820_000	01709
@	@	@	17321129_0740_000	01726
@	@		17331019_0000_000	42062
@	@		17331020_0000_000	42063
@	@		17350126_0310_000	42821
@	@	@	17370331_1720_000	42064
@	@	@	17370611_0030_000	01762
@	@		17380600_0000_000	42065
@	@	@	17390510_1525_000	01777
@	@	@	17400306_0540_000	01781
@	@		17400330_1210_000	42066
@	@		17400713_0000_000	42413
@	@		17410424_0900_000	01800
@	@		17410806_1345_000	42068
@	@	@	17420127_1120_000	01824
@	@	@	17430121_2155_000	01840
@	@		17430220_1630_000	01844
@	@	@	17431002_0000_000	42070
@	@		17431207_0005_000	01854
@	@	@	17440321_2000_000	42071
@	@		17460719_0935_000	01925
@	@		17460720_0935_000	01926
@	@	@	17460723_1815_000	01935
@	@		17470417_0000_000	01952
@	@		17480725_0000_000	42076
@	@	@	17510727_0100_000	02001
@	@	@	17530309_1315_000	02041
@			17551101_0800_000	02062
@	@		17551209_1330_000	02067
@			17560817_1057_000	02085
@	@	@	17570806_0000_000	02089
@	@	@	17590318_0000_000	02094
@			17590330_1330_000	02095
@			17590418_0000_000	02096
@	@		17590526_2215_000	02106
@			17590526_0130_000	02104
@	@	@	17601223_0000_000	42012
@	@		17610503_0900_000	42077
@	@	@	17620415_1800_000	02131
@	@		17621006_1210_000	02144
@	@	@	17670121_0745_000	02170
@	@	@	17670121_0900_000	02171
@	@	@	17670526_1824_000	02184
@	@	@	17670714_0105_000	02188
@	@	@	17681019_2300_000	02196
@	@		17681130_2300_000	02198
@	@	@	17701227_0400_000	02225
@	@	@	17710108_0330_000	02227
@	@		17710813_0000_000	02262
@	@		17710815_0000_000	02263
@	@		17740331_1510_000	02304
@	@	@	17780104_1630_000	42078
@	@	@	17790604_0700_000	02381
@	@	@	17790610_0835_000	02388
@	@		17790626_1230_000	42080
@	@	@	17790714_1930_000	02396
@	@		17791123_1830_000	02430
@	@	@	17791224_1700_000	02445
@	@	@	17791231_1600_000	02446
@	@	@	17800206_0400_000	02455
@	@	@	17800801_0000_000	02487
@	@	@	17800804_0000_000	02488
@	@		17800914_0000_000	42038
@	@	@	17810404_2120_000	02503
@	@		17810603_0000_000	02525
@	@		17810603_0635_000	02526
@	@	@	17810717_0940_000	02562
@	@	@	17810910_1130_000	02566
@	@	@	17830205_1200_000	02700
@	@	@	17830206_0020_000	02720
@	@	@	17830207_1310_000	02812
@	@	@	17830301_0140_000	02928
@	@	@	17830328_1855_000	03120
@	@	@	17830426_0210_000	03351
@	@	@	17840330_1100_000	03948
@	@	@	17850503_0230_000	04204
@	@		17851002_2110_000	04266
@	@	@	17851009_0315_000	04275
@	@	@	17860310_1410_000	04370
@	@		17860407_0025_000	04381
@	@		17860731_0000_000	04417
@	@		17861124_0645_000	04438
@	@	@	17861225_0100_000	04475
@	@	@	17870716_1000_000	04537
@	@	@	17870726_0715_000	04539
@	@		17871020_0000_000	04549
@	@		17871226_1510_000	04555
@	@	@	17871226_1510_001	04556
@	@		17881020_2115_000	04560
@	@		17890930_1000_000	04589
@			17900000_0000_001	04607
@			17900126_0700_000	04595
@	@	@	17911011_1305_000	04615
@	@	@	17911013_0120_000	04614
@			17920629_0045_000	04653
@	@	@	17930421_0000_000	42050
@	@	@	17940607_0045_000	04684
@	@		17940607_0235_000	04686
@	@	@	17940612_2230_000	04703
@			17940629_0000_000	04718
@	@	@	17940630_0445_000	04719
@			17940901_0000_000	04723
@	@		17960205_0200_000	04741
@	@	@	17960318_1630_000	04744
@	@	@	17961022_0400_000	04747
@			17961024_0645_000	04749
@	@		17980526_0000_000	04761
@	@	@	17990222_0545_000	42081
@	@	@	17990728_2205_000	04785
@	@	@	18011008_0752_000	04824
@	@		18020512_0930_000	04844
@	@		18041018_2000_000	04861
@	@		18041217_2000_000	04862
@	@	@	18050726_2100_000	04869
@	@	@	18060826_0735_000	04919
@	@	@	18071219_0130_000	04942
@	@	@	18080402_1643_000	04943
@	@	@	18080402_2015_000	04945
@	@	@	18080416_0115_000	04992
@			18120903_0000_000	05134
@	@	@	18120911_1200_000	05136
@	@		18121025_0700_000	05142
@	@	@	18130921_0745_000	05158
@	@	@	18150903_2300_000	05181
@	@		18170311_2125_000	05210
@	@	@	18180220_1815_000	05222
@	@	@	18180223_1810_000	05224
@	@	@	18180301_0245_000	05229
@	@	@	18180908_0950_000	05246
@	@	@	18181209_1855_000	05256
@	@	@	18190108_2230_000	05261
@			18190201_0100_000	05265
@	@	@	18190224_2320_000	05266
@	@	@	18230305_1637_000	05339
@	@	@	18240204_2150_000	05370
@	@	@	18260201_1600_000	05396
@	@	@	18261111_0428_000	05422
@			18261111_0500_000	05423
@			18261111_0530_000	05424
@			18261111_1944_000	05425
@			18261111_2100_000	05426
@	@	@	18280202_0915_000	05460
@	@	@	18281008_2230_000	05489
@	@	@	18281009_0220_000	05491
@	@	@	18281009_0800_000	05492
@	@	@	18281010_0130_000	05496
@	@	@	18290601_0900_000	05593
@	@		18300126_0430_000	05809
@	@	@	18310526_1030_000	05824
@			18310713_0925_000	05866
@			18310713_1315_000	05869
@			18310713_1000_000	05867
@	@	@	18310714_1530_000	05871
@	@	@	18310911_1815_000	05875
@			18310912_0130_000	05877
@	@	@	18310913_0530_000	05878
@	@		18311027_1045_000	05881
@	@	@	18320113_1300_000	05892
@			18320308_1400_000	05906
@	@	@	18320308_1830_000	05907
@	@	@	18320311_0645_000	05919
@	@	@	18320311_0845_000	05921
@	@	@	18320312_0230_000	05924
@			18320312_0400_000	05926
@			18320312_0645_000	05927
@	@	@	18320312_0845_000	05928
@	@	@	18320313_0330_000	05934
@	@	@	18320314_0440_000	05937
@	@	@	18320314_0741_000	05940
@			18320318_0000_000	05946
@			18320321_0000_000	05947
@			18320328_0000_000	05956
@			18320401_1200_000	05957
@			18320410_0000_000	05958
@	@	@	18320419_1414_000	05964
@			18320420_0014_000	05965
@			18320611_0345_000	05969
@			18320614_0630_000	05970
@	@	@	18321114_1100_000	42016
@	@	@	18321121_2100_000	42017
@	@	@	18321204_1900_000	42018
@	@		18330119_0000_000	05993
@	@	@	18340214_1315_000	06009
@	@	@	18340704_0045_000	06023
@	@	@	18341004_1900_000	06030
@	@	@	18350206_1850_000	06038
@	@		18350206_2000_000	06039
@			18350323_0930_000	06045
@	@	@	18350523_0830_000	06058
@	@	@	18351012_2235_000	06063
@	@	@	18360425_0020_000	06075
@	@		18360515_0800_000	06081
@	@	@	18360522_0755_000	06084
@	@		18360612_0230_000	06088
@	@	@	18360619_0315_000	06100
@	@	@	18360727_0730_000	06129
@	@	@	18361120_0730_000	06149
@	@	@	18370411_1700_000	06155
@	@	@	18380105_1400_000	06205
@	@	@	18380214_0730_000	06208
@	@	@	18380805_1715_000	42019
@	@		18390809_0845_000	06242
@	@	@	18410610_0000_000	06914
@	@	@	18431025_0330_000	07062
@	@		18431025_0410_000	07063
@	@	@	18450120_0515_000	07101
@	@	@	18451221_2040_000	07132
			18460328_1700_000	07138
@	@	@	18460422_1945_000	07142
@			18460807_0000_000	07155
@	@	@	18460814_1200_000	07160
@	@	@	18480111_1200_000	07281
@	@		18490106_0300_000	07361
@	@	@	18491128_1800_000	07388
@	@	@	18500710_0230_000	07456
@	@	@	18500918_0620_000	07480
@	@	@	18510814_1320_000	07534
@	@	@	18510814_1440_000	07535
@	@	@	18530409_1245_000	07939
@	@		18530517_1517_000	08047
@	@	@	18540212_1750_000	08097
@	@	@	18540212_0500_000	08100
@	@	@	18541204_0100_000	08239
@	@	@	18541229_0145_000	08248
@	@		18550725_1150_000	08304
@	@	@	18571216_2115_001	08443
@	@	@	18571226_0500_000	08475
@			18580808_0815_000	08664
@	@	@	18580830_1430_000	08669
			18581010_0000_000	08672
@	@	@	18581025_0142_000	08677
@	@		18581101_2035_001	08680
@	@		18581105_2036_000	08681
@	@		18581107_2130_000	08682
@	@		18590120_0755_000	08704
@	@	@	18590130_0000_000	08717
@	@		18590412_0328_000	08755
@	@	@	18590412_1303_000	08777
@	@		18590822_0000_000	08819
@	@	@	18600717_1343_000	08850
@	@		18641211_1740_000	09124
@			18641231_0630_000	09132
@	@		18650719_0100_000	09152
@	@	@	18650921_2050_000	09187
@	@	@	18660811_2300_000	09230
@			18661101_0000_000	09235
@			18661107_0000_000	09237
@	@		18671101_1615_000	09256
@			18680105_0000_000	09267
@	@	@	18680220_1945_000	09276
@			18680521_2200_000	09283
@	@	@	18680522_2115_000	09284
@	@	@	18690207_0452_000	09301
@	@		18690207_0500_000	09302
@	@	@	18690625_1358_000	09317
@	@	@	18690926_2045_000	09332
@			18700520_0010_000	09428
@			18700520_0110_000	09429
@			18700520_0130_000	09430
@			18700624_0000_000	09438
@	@	@	18701004_1655_000	09450
@	@	@	18701030_1834_000	09548
@	@		18710729_2045_000	09698
@	@		18711022_1300_000	09731
@	@	@	18730312_2004_000	09819
@			18730521_1700_000	09846
@	@	@	18730629_0358_000	09858
@	@	@	18730712_0606_000	09928
@	@	@	18730803_2153_000	10069
@			18730820_1430_000	10120
			18730822_1635_000	10129
@	@		18730917_0000_000	10173
@			18730920_1330_000	10178
@			18731203_0000_000	10271
@			18731203_0700_000	10269
@			18740410_1430_000	10436
@	@		18741007_0000_000	10519
@	@	@	18741206_1550_000	10556
@	@	@	18750211_2000_000	10602
@			18750211_1830_000	10601
@			18750213_2207_000	10604
@	@	@	18750214_0440_000	10606
@			18750215_2100_000	10607
@	@	@	18750317_2351_000	10615
@			18750622_1900_000	10640
@			18750723_0055_000	10646
@			18751010_1700_000	10658
@			18760318_0000_000	10718
@			18760429_0000_000	10749
@	@	@	18760429_1315_000	10750
@	@	@	18760429_1049_000	10753
@	@	@	18760429_2300_000	10758
@	@	@	18760501_1050_001	10765
@	@	@	18760502_0000_000	10767
@	@	@	18760529_1030_001	10793
@	@	@	18760529_1045_000	10794
@			18770207_0000_000	10940
@	@	@	18770824_0245_000	11018
@	@	@	18771001_0720_000	11045
@	@	@	18780312_2136_000	11092
@	@	@	18780607_2225_000	11110
@	@	@	18780915_0720_000	11132
@	@	@	18790223_1830_000	11185
@	@	@	18790427_0406_000	11218
@	@		18790617_0650_000	11257
@	@		18800704_0820_000	11384
@	@	@	18800802_0215_000	11422
@	@	@	18810124_1614_000	11474
@	@	@	18810214_0900_000	11491
@	@	@	18810302_0010_000	11511
@	@	@	18810304_1215_000	11516
@	@	@	18810803_1442_000	11599
@	@		18810910_0700_000	11605
@	@	@	18820215_0500_000	11663
@			18820215_0010_000	11661
@	@	@	18820606_0540_000	11712
@	@	@	18820918_1925_000	11746
@	@	@	18830728_2025_000	11949
@	@	@	18840912_0723_000	12121
@	@	@	18841127_2215_000	12128
@			18861013_0845_000	12804
@	@	@	18870223_0521_000	12869
@	@		18870223_0529_000	12870
@	@		18870223_0751_000	12872
@	@	@	18870930_1555_000	42801
@			18871001_0000_000	12974
@	@	@	18871114_0548_000	12993
@	@	@	18871203_0345_000	13002
@	@		18871203_0525_000	13003
@	@	@	18890308_0257_000	13215
@	@		18891225_1723_000	13468
@	@	@	18910528_0615_000	13592
@	@	@	18910607_0106_000	13599
@	@	@	18920809_0758_000	14476
@	@		18921229_1348_000	14566
@	@	@	18921229_2011_000	14567
@	@	@	18930810_2052_000	14782
@	@	@	18940209_1248_000	14839
@	@		18940808_0516_000	14902
@			18941017_0417_000	14943
@	@	@	18941116_1752_000	14962
@	@		18941127_0507_000	15004
@			18950105_0421_000	15079
@			18950112_0330_000	15115
@			18950112_0315_000	15114
@	@		18950414_2017_000	15294
@	@	@	18950512_2029_000	15325
@	@	@	18950518_1955_000	15327
@	@	@	18950606_0035_000	15356
@	@	@	18950904_1330_000	15451
@			18951220_0000_000	15581
@	@	@	18960106_1740_000	15594
@			18960618_0343_000	15719
@			18970116_1210_000	15894
@			18970304_2105_000	15980
@	@	@	18970706_2044_000	16144
@	@		18970715_0553_000	16153
